COURSE NAME,A,AB,B,BC,C,D,F,GPA
COMP SCI 200,2180,2900,3980,2220,1880,780,440,2.844228095
COMP SCI 252,14046,9347,8032,3295,2910,941,686,3.260386683
COMP SCI 300,194,130,186,58,34,10,20,3.183544304
COMP SCI 352,19295,24302,21147,13764,9861,3686,2224,3.006989892
COMP SCI 354,2351,1324,1345,863,854,287,217,3.069396492
COMP SCI 400,,,,,,,,
COMP SCI 407,387,223,98,8,6,8,3,3.632332879
COMP SCI 412,396,305,337,169,200,60,46,3.003965631
COMP SCI 425,28,24,14,8,8,3,1,3.220930233
COMP SCI 435,387,225,429,125,239,115,52,2.880407125
COMP SCI 471,39,35,20,4,2,0,0,3.525
COMP SCI 475,325,142,240,64,124,44,19,3.099164927
COMP SCI 506,251,100,78,33,31,11,1,3.452475248
COMP SCI 513,70,31,27,18,22,12,7,3.050802139
COMP SCI 514,123,54,76,26,28,20,7,3.143712575
COMP SCI 520,141,123,137,77,78,21,14,3.003384095
COMP SCI 524,86,71,47,19,18,3,4,3.306451613
COMP SCI 525,332,182,247,124,135,82,40,2.949211909
COMP SCI 526,1,5,0,0,0,0,2,2.6875
COMP SCI 532,149,67,86,22,18,0,4,3.408959538
COMP SCI 533,200,152,90,16,18,5,10,3.427698574
COMP SCI 534,122,70,53,19,18,10,8,3.285
COMP SCI 536,574,420,307,157,117,52,68,3.165486726
COMP SCI 537,6161,2856,2407,1153,806,224,206,3.372149424
COMP SCI 538,20,12,9,3,2,1,3,3.23
COMP SCI 539,45,47,63,25,12,1,7,3.105
COMP SCI 540,2173,1423,1611,908,607,199,150,3.137957856
COMP SCI 545,49,20,7,0,0,0,0,3.776315789
COMP SCI 547,44,14,12,1,2,1,1,3.58
COMP SCI 552,459,421,502,257,114,38,35,3.134720701
COMP SCI 558,19,7,1,1,0,0,1,3.655172414
COMP SCI 559,236,273,267,98,71,27,30,3.108283433
COMP SCI 564,2037,1022,1077,379,218,49,36,3.401515152
COMP SCI 567,19,11,1,2,7,2,2,3.147727273
COMP SCI 570,452,272,132,30,12,0,4,3.60864745
COMP SCI 576,172,124,69,33,33,19,7,3.274617068
COMP SCI 577,1456,579,1133,545,438,120,50,3.149271002
COMP SCI 579,46,8,4,0,0,0,0,3.862068966
COMP SCI 635,140,84,53,16,9,0,3,3.51147541
COMP SCI 639,,,,,,,,
COMP SCI 640,362,291,218,107,75,30,10,3.264409881
COMP SCI 642,153,77,42,20,22,6,7,3.386850153
COMP SCI 679,64,32,9,3,0,0,0,3.726851852
ECE 203,1062,729,1035,468,397,106,55,3.10864486
ECE 330,808,529,693,377,480,91,51,3.022779795
ECE 331,198,147,185,134,96,45,29,2.917865707
MATH 234,196137,101166,193309,92233,134063,44240,24929,2.87695035
MATH 309,1725,1030,1279,599,703,341,133,3.026936317
MATH 310,818,597,721,359,326,98,95,3.04313205
MATH 319,15300,7063,11442,5007,7252,3176,1934,2.939852269
MATH 320,35462,23946,40251,19597,26978,11248,6319,2.812000537
MATH 321,577,528,866,788,1238,555,252,2.446919234
MATH 322,143,70,112,38,50,25,13,3.044345898
MATH 331,78,36,66,24,43,15,20,2.826241135
MATH 340,12256,5769,11169,4583,6934,3639,1827,2.851787687
MATH 341,543,343,368,179,191,67,61,3.066780822
MATH 375,1152,683,553,228,248,76,42,3.286217304
MATH 376,516,255,288,87,93,23,23,3.305058366
MATH 421,816,574,766,436,234,120,65,3.071736964
MATH 431,1927,875,1850,640,1156,458,238,2.896206607
MATH 443,108,30,48,20,9,2,5,3.382882883
MATH 461,405,141,182,70,85,42,17,3.234076433
MATH 521,1810,874,1319,625,918,298,117,3.011659118
MATH 541,817,400,534,220,368,183,157,2.888764464
MATH 542,146,41,42,20,28,3,11,3.307560137
MATH 567,112,48,61,26,38,19,4,3.113636364
MATH 571,68,28,40,13,23,12,11,2.976923077
MATH 221,278170,114057,264401,99888,177458,68430,42666,2.849711981
MATH 222,169261,101723,199451,98883,141644,56032,34786,2.766288758
MATH 240,14416,7483,18701,7220,4959,1917,1397,3.027873353
STAT 311,6264,3864,5582,2072,2287,468,235,3.155594069
STAT 312,2984,1978,2146,556,480,108,65,3.337140796
STAT 324,9082,6521,7286,3003,2628,1079,439,3.157733538